AIRPORT_CODE,AIRPORT_NAME,ORIGIN_STATE,LATITUDE,LONGITUDE,FLIGHT_YEAR,TOTAL_DEPARTURES,ON_TIME_RATE_PCT,CANCELLATION_RATE_PCT,AVG_DEP_DELAY_MINS,AVG_DISTANCE
CVG,Cincinnati Northern Kentucky International Airport,Kentucky,39.04880142209999,-84.66780090329999,2016,15502,83.91,1.21,8.56,740.96
FLL,Fort Lauderdale Hollywood International Airport,Florida,26.072599000000004,-80.152702,2016,83087,78.75,1.2,11.65,1047.68
GST,Gustavus Airport,Alaska,58.42530060000001,-135.70700069999998,2016,84,80.95,1.19,-0.4,41.0
DLG,Dillingham Airport,Alaska,59.04470062,-158.5050049,2016,84,86.9,1.19,-3.39,329.0
DFW,Dallas Fort Worth International Airport,Texas,32.896801,-97.03800199999999,2016,195586,78.62,1.17,10.96,878.57
GFK,Grand Forks International Airport,North Dakota,47.949299,-97.17610199999999,2016,1553,87.57,1.16,4.8,284.0
ILM,Wilmington International Airport,North Carolina,34.270599365234375,-77.90260314941406,2016,2579,87.51,1.16,7.7,328.16
PHL,Philadelphia International Airport,Pennsylvania,39.87189865112305,-75.24109649658203,2016,72965,80.56,1.15,8.36,1035.61
OAK,Metropolitan Oakland International Airport,California,37.721298,-122.22100099999999,2016,48733,80.18,1.15,8.38,743.12
CLT,Charlotte Douglas International Airport,North Carolina,35.2140007019043,-80.94309997558594,2016,110504,81.79,1.13,7.98,731.72
ONT,Ontario International Airport,California,34.055999755859375,-117.60099792480466,2016,19613,83.28,1.13,7.99,535.07
BNA,Nashville International Airport,Tennessee,36.1245002746582,-86.6781997680664,2016,51556,82.62,1.13,8.94,695.18
TUL,Tulsa International Airport,Oklahoma,36.19839859008789,-95.88809967041016,2016,13940,86.78,1.12,4.5,508.65
MKE,General Mitchell International Airport,Wisconsin,42.94720077514648,-87.89659881591797,2016,32494,84.89,1.12,6.64,715.21
MCI,Kansas City International Airport,Missouri,39.297599999999996,-94.713898,2016,43496,85.06,1.09,6.62,757.35
GRK,Robert Gray  Army Air Field Airport,Texas,31.067199707,-97.8289031982,2016,1926,89.1,1.09,3.37,345.8
MIA,Miami International Airport,Florida,25.79319953918457,-80.29060363769531,2016,69460,76.16,1.09,13.0,1100.52
PSC,Tri Cities Airport,Washington,46.26470184326172,-119.11900329589844,2016,3798,86.84,1.08,5.85,590.66
AMA,Rick Husband Amarillo International Airport,Texas,35.21939799999999,-101.706001,2016,3060,88.86,1.08,2.82,437.9
PBG,Plattsburgh International Airport,New York,44.6509017944336,-73.46810150146484,2016,370,80.27,1.08,5.6,1203.09
PHF,Newport News Williamsburg International Airport,Virginia,37.13190079,-76.49299622,2016,1122,87.79,1.07,7.57,508.0
KTN,Ketchikan International Airport,Alaska,55.35559845,-131.7140045,2016,2466,88.77,1.05,-2.48,459.18
OKC,Will Rogers World Airport,Oklahoma,35.39310073852539,-97.60070037841795,2016,15645,86.49,1.05,5.52,618.09
PIT,Pittsburgh International Airport,Pennsylvania,40.49150085,-80.23290253,2016,25244,87.05,1.05,5.27,761.25
SAN,San Diego International Airport,California,32.7336006165,-117.190002441,2016,77995,83.49,1.04,7.13,1003.42
RSW,Southwest Florida International Airport,Florida,26.53619956970215,-81.75520324707031,2016,29177,83.48,1.03,8.44,965.52
VPS,Destin-Ft Walton Beach Airport,Florida,30.483199999999993,-86.525398,2016,4188,86.56,1.03,6.81,394.65
IND,Indianapolis International Airport,Indiana,39.71730000000001,-86.29440299999999,2016,26761,84.53,1.03,7.49,764.88
DAL,Dallas Love Field,Texas,32.847099,-96.851799,2016,68803,79.59,1.02,10.33,711.54
